node,distance_km,payload_bytes,rx_power_dbm,a_expected,a_max,greedy_sf,ilp_sf,greedy_toa_s,ilp_toa_s
1,2.1000981566825403,17,-121.52377302979892,1.0,2.0,11,9,0.659456,0.164864
2,0.5461792283587134,26,-104.52635349480393,1.0,2.0,9,8,0.20582399999999998,0.11315199999999999
3,0.3712814744941099,50,-95.33980252422026,1.0,2.0,7,7,0.097536,0.097536
4,2.381906594792979,16,-121.03220962845319,1.0,2.0,9,9,0.164864,0.164864
5,1.9925157826417097,26,-118.82106601915336,1.0,2.0,12,8,1.6465919999999998,0.11315199999999999
6,1.2332662296118353,12,-103.41404886215838,1.0,2.0,8,9,0.082432,0.144384
7,2.254492465459642,14,-117.22414934283572,1.0,2.0,9,10,0.164864,0.288768
8,1.3358143675152312,27,-110.83874779248761,1.0,2.0,8,7,0.123392,0.066816
9,1.685378510871573,27,-110.59619890023866,2.0,3.0,7,7,0.066816,0.066816
10,1.74652357489385,17,-107.24333686539542,1.0,2.0,7,9,0.051455999999999995,0.164864
11,2.5412670597730407,17,-114.53122989427118,1.0,2.0,7,9,0.051455999999999995,0.164864
12,2.4555092199998785,9,-126.34296972851209,2.0,3.0,11,11,0.495616,0.495616
13,1.3730850920260773,8,-110.72754650380384,1.0,2.0,7,11,0.036096,0.495616
14,1.3728421312168895,19,-109.49666404907293,1.0,2.0,11,8,0.7413759999999999,0.10291199999999999
15,1.6894265675164393,27,-111.29600414580887,2.0,3.0,7,7,0.066816,0.066816
16,0.17336443289446235,21,-86.66220761449874,1.0,2.0,7,8,0.056575999999999994,0.10291199999999999
17,1.4457013386373032,38,-113.69086032387162,1.0,2.0,7,7,0.082176,0.082176
18,2.536528684295306,34,-125.92847462460762,2.0,3.0,10,10,0.45260799999999995,0.45260799999999995
19,2.3804765886580883,19,-122.49940864142721,1.0,2.0,9,9,0.18534399999999998,0.18534399999999998
20,1.902269485992208,41,-123.51826651635878,1.0,2.0,10,10,0.534528,0.534528
21,1.8119571874930496,13,-110.67190154342907,1.0,2.0,10,11,0.288768,0.577536
22,2.527685411818281,17,-124.04882875704143,1.0,2.0,10,10,0.329728,0.329728
23,2.0027167976998363,11,-123.03123298090071,1.0,2.0,10,10,0.288768,0.288768
24,2.524664326148738,40,-119.95894483935422,1.0,2.0,11,8,1.069056,0.154112
25,2.597245827204728,15,-121.27716368887292,1.0,2.0,11,9,0.659456,0.164864
26,0.48027559956582955,13,-102.88516733210653,1.0,2.0,7,10,0.046335999999999995,0.288768
27,0.8964782588769423,21,-105.83767267490248,1.0,2.0,12,8,1.4827519999999998,0.10291199999999999
28,2.268546042651227,16,-123.14967695502625,1.0,2.0,10,10,0.329728,0.329728
29,0.9245939361267007,15,-105.58008496209126,1.0,2.0,8,8,0.09267199999999999,0.09267199999999999
30,1.5206916496988148,21,-114.85570634943272,1.0,2.0,7,8,0.056575999999999994,0.10291199999999999
31,1.4247386956209407,49,-112.77034686049566,1.0,2.0,8,7,0.174592,0.097536
32,1.930333442610383,15,-119.78550078395273,1.0,2.0,8,9,0.09267199999999999,0.164864
33,0.5869949264956952,17,-105.45900663847014,1.0,2.0,8,8,0.09267199999999999,0.09267199999999999
34,1.7464055480631742,13,-115.27850713674096,1.0,2.0,7,11,0.046335999999999995,0.577536
35,1.9379699220589401,8,-125.7883403032549,1.0,2.0,11,11,0.495616,0.495616
36,0.8987740639921472,14,-100.83106259499148,1.0,2.0,7,10,0.046335999999999995,0.288768
37,1.5197631456238918,9,-116.99104157900427,1.0,2.0,10,12,0.247808,0.991232
38,1.8471622681568596,27,-106.91343804522124,1.0,2.0,8,7,0.123392,0.066816
39,1.434065631236212,8,-110.5847921190896,1.0,2.0,8,11,0.072192,0.495616
40,1.6810797229153838,10,-116.51375291332081,1.0,2.0,8,12,0.072192,0.991232
41,1.674483791687339,16,-119.01126370630047,1.0,2.0,12,8,1.318912,0.09267199999999999
42,0.7956558856534308,17,-103.54449005356956,1.0,2.0,9,9,0.164864,0.164864
43,1.9939623058077895,20,-115.99591329112204,2.0,3.0,12,7,1.318912,0.056575999999999994
44,0.7091773294285675,11,-102.46078153128454,1.0,2.0,8,9,0.082432,0.144384
45,1.98125214473375,43,-114.02703913314372,1.0,2.0,7,7,0.087296,0.087296
46,0.7500028460484401,13,-104.7540499290888,2.0,3.0,9,7,0.164864,0.046335999999999995
47,1.9093530835876773,30,-112.01026022297894,1.0,2.0,7,8,0.071936,0.123392
48,2.3982433992703447,11,-124.59093033970203,2.0,3.0,10,10,0.288768,0.288768
49,1.3978700687316417,31,-114.62235140211115,1.0,2.0,7,7,0.071936,0.071936
50,0.7494320309888555,9,-102.25017791056017,2.0,3.0,11,7,0.495616,0.041216
51,1.4724619598780548,8,-118.19392189958964,1.0,2.0,11,11,0.495616,0.495616
52,1.694418277755248,32,-115.93655660294374,1.0,2.0,7,7,0.071936,0.071936
53,2.0345046295048346,16,-110.90144911018798,1.0,2.0,8,8,0.09267199999999999,0.09267199999999999
54,1.0131516885076162,16,-108.81297133629668,2.0,3.0,11,7,0.659456,0.051455999999999995
55,0.17108160439496292,13,-88.12871944519576,2.0,3.0,10,7,0.288768,0.046335999999999995
56,2.3873895226756865,11,-115.04819854144034,1.0,2.0,7,9,0.041216,0.144384
57,1.7543563110385771,10,-122.29389644586291,1.0,2.0,9,12,0.144384,0.991232
58,1.969469176988902,19,-119.8039818307387,1.0,2.0,8,8,0.10291199999999999,0.10291199999999999
59,2.3275470052941944,40,-115.02955735915106,2.0,3.0,8,7,0.154112,0.082176
60,2.2715945630282155,14,-123.88680788337709,1.0,2.0,10,10,0.288768,0.288768
61,2.4139220047985104,39,-119.55255504655861,1.0,2.0,8,8,0.154112,0.154112
62,1.4758333680677274,41,-114.67328904354315,1.0,2.0,9,7,0.287744,0.087296
63,1.1454547982641567,41,-103.13044024647634,1.0,2.0,9,7,0.287744,0.087296
64,0.29722795429665183,17,-100.20708588274883,2.0,3.0,12,7,1.318912,0.051455999999999995
65,1.6367209669097336,9,-118.40194990951213,1.0,2.0,8,12,0.072192,0.991232
66,2.0250823375307903,38,-120.13966461701466,1.0,2.0,9,9,0.267264,0.267264
67,1.9572283701877642,19,-116.19462812647257,1.0,2.0,10,8,0.329728,0.10291199999999999
68,2.437437302058853,31,-118.21018807626618,1.0,2.0,8,8,0.133632,0.133632
69,2.3656314205949904,18,-118.45664228631983,1.0,2.0,8,8,0.09267199999999999,0.09267199999999999
70,1.8324402360698795,8,-110.09513879949141,1.0,2.0,8,12,0.072192,0.991232
71,0.9119126185715923,14,-104.587125131187,1.0,2.0,7,10,0.046335999999999995,0.288768
72,1.8398767314049922,12,-123.64898025912791,1.0,2.0,12,10,1.155072,0.288768
73,2.4931761363953213,17,-128.4947736331657,1.0,2.0,11,11,0.659456,0.659456
74,2.4402629250485828,41,-123.67264656546286,1.0,2.0,10,10,0.534528,0.534528
75,2.1348456201252537,19,-121.8422194914894,1.0,2.0,9,9,0.18534399999999998,0.18534399999999998
76,2.1107002479025754,9,-121.24730074941453,1.0,2.0,9,11,0.144384,0.495616
77,2.3674214966180163,8,-115.34031523670274,1.0,2.0,7,12,0.036096,0.991232
78,2.1552638029101674,9,-122.4962485232397,1.0,2.0,9,12,0.144384,0.991232
79,2.054381461799857,10,-113.15970186856832,1.0,2.0,11,12,0.577536,0.991232
80,1.6484550175661545,30,-110.04578600552985,2.0,3.0,11,7,0.9052159999999999,0.071936
81,1.64382692155431,19,-115.59614927925398,1.0,2.0,8,7,0.10291199999999999,0.051455999999999995
82,1.8135507871325507,12,-119.65964299681647,1.0,2.0,9,10,0.144384,0.288768
83,2.441472873519562,37,-114.55144991460489,1.0,2.0,8,7,0.143872,0.082176
84,2.08269479600778,13,-123.11502662797835,1.0,2.0,10,11,0.288768,0.577536
85,2.3623249849786325,11,-118.16064696124354,2.0,3.0,8,8,0.082432,0.082432
86,1.8437370117871676,18,-115.90945398417895,1.0,2.0,7,8,0.051455999999999995,0.09267199999999999
87,1.9046430539365138,20,-111.21525184839572,1.0,2.0,10,8,0.37068799999999996,0.10291199999999999
88,2.173612982290632,9,-117.65820471175124,1.0,2.0,9,11,0.144384,0.495616
89,2.1670484995067443,11,-119.30666142068401,1.0,2.0,8,9,0.082432,0.144384
90,1.2188485903614035,11,-106.51404035081887,1.0,2.0,9,9,0.144384,0.144384
91,2.5032501828540927,12,-123.22325156699,1.0,2.0,10,11,0.288768,0.577536
92,1.2331797975159025,19,-109.13271653558789,1.0,2.0,7,8,0.051455999999999995,0.10291199999999999
93,2.109529037006219,37,-118.39239362801194,1.0,2.0,12,8,1.974272,0.143872
94,1.5656035002993909,12,-114.93190787833751,1.0,2.0,12,9,1.155072,0.144384
95,1.3801250544801908,38,-120.84811131369986,2.0,3.0,9,9,0.267264,0.267264
96,2.59118209570178,44,-121.80096795148953,1.0,2.0,12,9,2.138112,0.287744
97,2.1434620922100773,9,-124.32165870239027,1.0,2.0,10,12,0.247808,0.991232
98,1.3846661937940907,13,-110.82944659346641,1.0,2.0,7,10,0.046335999999999995,0.288768
99,2.217313649332538,14,-107.86739110058834,1.0,2.0,9,10,0.164864,0.288768
100,2.2557791178693223,27,-121.07434764641079,1.0,2.0,9,9,0.22630399999999998,0.22630399999999998
